"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1854092431609978906","Wed Nov 06 17:12:56 +0000 2024","2","@DudeRafay60339 @susi2001122 @Pemburu_Celeng @Bams_4GP @H1m4_W4r1 Demi fufufafa sendi2 kehidupan ber - negara rusak smua.... Konstitusi di permainkan se - suka hati....","1854210369151172697","","DudeRafay60339","in","","0","3","0","https://x.com/Dargomb33306384/status/1854210369151172697","1077474025662668800","Dargomb33306384"
"1854189632017301705","Wed Nov 06 17:10:49 +0000 2024","0","@wuyoodose fufufafa emg cocok buat apa aja","1854209838404018330","","wuyoodose","in","","0","0","0","https://x.com/nawfestival/status/1854209838404018330","1568150213260627973","nawfestival"
"1854129177378926979","Wed Nov 06 17:09:20 +0000 2024","0","@Zay34562 Pengen lihat fufufafa 11mukidi12 ketemu sama Presiden Amerika yang baru ... #JokowiKleptokrasi #JokowiKleptokrasi","1854209465006112794","","Zay34562","in","Indonesia","0","0","0","https://x.com/OdriSeva/status/1854209465006112794","476409677","OdriSeva"
"1854208633686708249","Wed Nov 06 17:09:09 +0000 2024","0","@oshcinpcyyaa_99 Inih nih udh bukan titisan fufufafa tapi titisan nisa sabian","1854209417828524353","","oshcinpcyyaa_99","in","","0","1","0","https://x.com/bbh0509_/status/1854209417828524353","1360973957910859777","bbh0509_"
"1854196684152332480","Wed Nov 06 17:08:19 +0000 2024","0","@prabowo @realDonaldTrump congratulations to Mr. @realDonaldTrump from fufufafa","1854209208557932986","","prabowo","in","Jakarta Barat, DKI Jakarta","0","0","0","https://x.com/writerfreax/status/1854209208557932986","1390568423768215553","writerfreax"
"1854206751723364849","Wed Nov 06 17:07:27 +0000 2024","0","@lagikzl Tinggal nangis","1854208991422972324","","lagikzl","in","","0","0","0","https://x.com/RHudaiby/status/1854208991422972324","2221606680","RHudaiby"
"1854205771632050194","Wed Nov 06 16:54:40 +0000 2024","2","Optimum pred say ganyang fufufafa! https://t.co/rXZrA70Obi","1854205771632050194","https://pbs.twimg.com/media/Gbt2Uo-bEAA864Z.jpg","","in","Earth","0","0","0","https://x.com/yuuthsieline/status/1854205771632050194","1303915526788231168","yuuthsieline"
"1854205768779923680","Wed Nov 06 16:54:39 +0000 2024","1","Ayo...KEJAR TERUS FUFUFAFA DAN IJASAH JOKOWI? https://t.co/9EVKqeG3k4","1854205768779923680","https://pbs.twimg.com/media/Gbt2UMCbwAIi6Wx.jpg","","in","Jembrana, Bali","0","0","0","https://x.com/gusbenk/status/1854205768779923680","108236759","gusbenk"
"1853996820361576841","Wed Nov 06 16:54:12 +0000 2024","0","@saklarsky fufufafa yg ngalah","1854205656188031178","","saklarsky","in","","0","0","0","https://x.com/vlnfndrp/status/1854205656188031178","1215964766985785345","vlnfndrp"
"1854196684152332480","Wed Nov 06 16:52:45 +0000 2024","0","@soppyan @nawantityastuti bukannya fufufafa garapan dari komplotanmu anak Abah itu sibudi intel..... dan kamu yg menyebarkannya... hayooo....ngaku kamu!!","1854205291090608470","","soppyan","in","","0","0","0","https://x.com/Anwar6993312370/status/1854205291090608470","1751647048867471360","Anwar6993312370"
"1854154993361940682","Wed Nov 06 16:52:12 +0000 2024","2","@JuMsHu14 @idextratime Lah gw setuju sama pendapat lu tentang anak wabah dan banteng. Terus ngapain lu marah-marah nyerang personal? Wkwk Argumentum ad hominem tanda otak sungsang gak berkembang. Btw BuzzeRp itu bodoh sebodoh fufufafa ","1854205152930173124","","JuMsHu14","in","West Sumatra, Indonesia","0","1","0","https://x.com/vickyelkhaer/status/1854205152930173124","1639514300686692354","vickyelkhaer"
"1854196684152332480","Wed Nov 06 16:50:27 +0000 2024","2","@nawantityastuti narasi lo goblok soalnya fufufafa = anak abah? terminologi lo cacad gblok","1854204712754811197","","nawantityastuti","in","Liverpool, England","0","5","0","https://x.com/soppyan/status/1854204712754811197","260479234","soppyan"
"1854196684152332480","Wed Nov 06 16:50:25 +0000 2024","0","@soppyan @khansajaya berarti kamu ya....penyebar isu fufufafa itu Gibran? ","1854204704508813474","","soppyan","in","","0","1","0","https://x.com/Anwar6993312370/status/1854204704508813474","1751647048867471360","Anwar6993312370"
"1853999480372154434","Wed Nov 06 16:49:22 +0000 2024","3","@V3g3L Tolol gini mau jadi bupati. Sejak kelas fufufafa jadi wapres kelas di bawahnya juga ikutan. Orang goblok daftar pejabat.","1854204439214928120","","V3g3L","in","","0","0","0","https://x.com/ryz8888/status/1854204439214928120","1550757456749350914","ryz8888"
"1851491308252340237","Wed Nov 06 16:49:03 +0000 2024","0","@dearlypink maw aku ajak ktmu fufufafa","1854204359296585861","","dearlypink","in","","0","0","0","https://x.com/miyaoew/status/1854204359296585861","1579002500430311424","miyaoew"
"1854196684152332480","Wed Nov 06 16:47:29 +0000 2024","0","@soppyan @nawantityastuti @prabowo @realDonaldTrump beneran itu fufufafa yg bikin anak abah Anis Baswedan? oooo....jadi kamu ya...yg bikin isu fufufafa itu Gibran ya?","1854203964788744376","","soppyan","in","","0","0","0","https://x.com/Anwar6993312370/status/1854203964788744376","1751647048867471360","Anwar6993312370"
"1854196684152332480","Wed Nov 06 16:45:04 +0000 2024","1","@prabowo @realDonaldTrump Semoga pak prabowo kembali bertaring dan biji yg hilang satu kata Fufufafa sudah muncul du'a lagi","1854203356996391061","","prabowo","in","","0","0","0","https://x.com/dinar_wibowo/status/1854203356996391061","1424245502963376132","dinar_wibowo"
"1853941774336794938","Wed Nov 06 16:44:56 +0000 2024","1","@aniesbaswedan @bmkasalmanitb @fpbs_upi Abah Anies PAHLAWAN PERUBAHAN..Respect buat ABAH ANIES.. Tolong jgn salah menilai dgn kata PAHLAWAN bkn utk yg sdh TIADA tapi Aq pribadi Kata PAHLAWAN (krn BERANI LAWAN REZIM FUFUFAFA..️) contoh : seperti Abah Anies kasih ilmu biar tdk di bodohi REZIM PENJAJAH FUFUFAFA https://t.co/OShDAjyDS7","1854203322833776686","https://pbs.twimg.com/media/Gbt0F3lbQAAQ86d.jpg","aniesbaswedan","in","","0","0","0","https://x.com/HagobragDhan/status/1854203322833776686","1608132819292938245","HagobragDhan"
"1853967395100184794","Wed Nov 06 16:44:17 +0000 2024","0","@mas_veel Cobalah utuk menilai seseorang dr berbagai sudut pandang. Mereka tdk minta jokowi di penjara adili dulu biar tau salah benarnya. Fufufafa juga menghina presiden sekarang kenapa gbs di tangkap atas tuduan ujaran kebencian?","1854203159922778416","","mas_veel","in","Pandaan City Of mountain","0","0","0","https://x.com/DCruzzero/status/1854203159922778416","1088585773","DCruzzero"
